user_id,age,gender,country,sleep_hours,sleep_quality,water_intake_L,hydration_score,steps,calorie_intake,activity_type,bmi,stress_level,emotion,mood_score,recommendation
U0001,56,Male,Germany,7.8,10.0,1.6,5.3,7450,2093,Gym,23.5,1,Calm,10.0,Drink more water
U0002,46,Female,India,9.2,10.0,2.81,9.4,5712,2952,Yoga,20.5,1,Calm,10.0,Maintain current routine
U0003,32,Male,Brazil,4.0,7.8,2.63,8.8,3367,3326,Running,22.4,1,Calm,9.8,Increase sleep duration
U0004,60,Male,India,5.8,8.4,2.89,9.6,10189,2681,Yoga,22.4,2,Calm,7.9,Increase sleep duration
U0005,25,Female,USA,7.9,6.6,2.73,9.1,11013,2739,Sedentary,18.6,2,Calm,9.1,Add light exercise daily
U0006,38,Female,India,6.7,7.6,4.46,10.0,2454,3193,Yoga,27.2,2,Calm,8.9,Maintain current routine
U0007,56,Male,UK,7.6,3.7,1.99,6.6,11816,2985,Sedentary,23.0,5,Stressed,4.6,Meditation & relaxation recommended
U0008,36,Female,Germany,6.1,2.8,2.08,6.9,4772,1633,Gym,27.9,4,Stressed,6.7,Meditation & relaxation recommended
U0009,40,Female,USA,7.1,5.6,2.0,6.7,5726,2590,Sedentary,28.2,4,Stressed,5.5,Meditation & relaxation recommended
U0010,28,Female,India,6.8,6.5,2.06,6.9,9232,3371,Yoga,20.5,3,Neutral,7.5,Maintain current routine
U0011,28,Male,Brazil,8.8,9.1,1.99,6.6,13339,2530,Yoga,25.9,2,Calm,6.7,Drink more water
U0012,41,Female,UK,7.4,4.6,3.45,10.0,14281,2447,Sedentary,23.7,5,Stressed,3.8,Meditation & relaxation recommended
U0013,53,Other,UK,7.5,6.3,3.64,10.0,6806,3049,Cycling,28.6,5,Stressed,6.1,Meditation & relaxation recommended
U0014,57,Female,India,6.4,5.3,2.04,6.8,4190,1572,Gym,20.6,4,Stressed,6.9,Meditation & relaxation recommended
U0015,41,Other,Germany,6.3,7.5,1.83,6.1,11108,1898,Walking,26.1,2,Calm,8.6,Drink more water
U0016,20,Male,India,6.4,6.2,2.88,9.6,14178,2928,Running,25.3,3,Neutral,7.1,Maintain current routine
U0017,39,Male,USA,7.6,7.2,2.06,6.9,4875,3198,Yoga,21.5,2,Calm,5.6,Maintain current routine
U0018,19,Female,India,6.4,6.6,3.01,10.0,7592,2077,Running,19.6,1,Calm,8.9,Maintain current routine
U0019,41,Female,UK,7.4,7.4,2.66,8.9,3440,2358,Walking,25.8,2,Calm,8.5,Maintain current routine
U0020,61,Female,India,10.0,6.7,1.29,4.3,14592,1629,Running,26.9,1,Calm,8.5,Drink more water
U0021,47,Male,Germany,8.3,9.3,3.74,10.0,10927,2430,Walking,21.8,1,Calm,8.3,Maintain current routine
U0022,55,Female,Brazil,6.5,5.2,3.94,10.0,13760,2989,Sedentary,25.7,3,Neutral,8.4,Add light exercise daily
U0023,19,Female,Japan,8.8,4.3,2.01,6.7,8059,2729,Cycling,22.7,4,Stressed,5.9,Meditation & relaxation recommended
U0024,38,Female,India,6.4,6.9,2.19,7.3,13530,3311,Yoga,26.6,2,Calm,8.5,Maintain current routine
U0025,50,Male,Germany,4.0,8.6,2.73,9.1,9010,3291,Walking,20.4,1,Calm,9.8,Increase sleep duration
U0026,29,Other,Germany,5.5,7.6,2.77,9.2,13207,1765,Running,28.7,2,Calm,7.0,Increase sleep duration
U0027,39,Female,Brazil,4.2,6.3,3.03,10.0,9117,3060,Yoga,21.4,4,Stressed,6.2,Meditation & relaxation recommended
U0028,61,Male,UK,6.5,4.6,4.11,10.0,13081,3485,Cycling,22.4,4,Stressed,7.3,Meditation & relaxation recommended
U0029,42,Female,Germany,7.0,4.5,2.36,7.9,11153,2292,Sedentary,18.7,5,Stressed,6.8,Meditation & relaxation recommended
U0030,44,Female,Germany,9.5,7.9,1.86,6.2,4989,1752,Yoga,19.3,4,Stressed,6.0,Meditation & relaxation recommended
U0031,59,Other,Germany,7.5,6.8,1.4,4.7,14040,2321,Walking,24.2,3,Neutral,6.8,Drink more water
U0032,45,Male,Germany,6.7,8.6,1.92,6.4,11218,2812,Cycling,21.2,1,Calm,9.3,Drink more water
U0033,33,Female,USA,8.2,3.2,2.47,8.2,8228,1663,Running,28.0,5,Stressed,5.2,Meditation & relaxation recommended
U0034,32,Female,USA,4.0,6.2,3.94,10.0,14057,1594,Cycling,18.2,3,Neutral,8.4,Increase sleep duration
U0035,64,Other,UK,7.4,6.7,2.09,7.0,8471,3305,Cycling,22.5,2,Calm,7.0,Maintain current routine
U0036,61,Male,India,8.2,9.1,2.68,8.9,4863,2332,Gym,22.0,1,Calm,8.7,Maintain current routine
U0037,20,Male,Germany,4.8,5.3,2.49,8.3,12693,2633,Cycling,18.2,4,Stressed,4.9,Meditation & relaxation recommended
U0038,54,Male,Brazil,8.7,6.6,3.45,10.0,12139,1835,Cycling,19.5,1,Calm,8.0,Maintain current routine
U0039,24,Male,India,7.5,7.6,4.52,10.0,3177,2321,Yoga,23.0,2,Calm,8.4,Maintain current routine
U0040,38,Female,Brazil,6.4,5.1,2.08,6.9,6760,1737,Running,23.9,5,Stressed,5.8,Meditation & relaxation recommended
U0041,26,Male,India,7.9,3.6,2.11,7.0,2011,1880,Yoga,22.9,5,Stressed,4.4,Meditation & relaxation recommended
U0042,56,Male,UK,10.0,3.3,3.34,10.0,7252,2959,Yoga,24.4,5,Stressed,5.8,Meditation & relaxation recommended
U0043,35,Female,Germany,7.3,3.8,3.05,10.0,6399,2398,Walking,25.1,4,Stressed,7.1,Meditation & relaxation recommended
U0044,21,Other,Germany,7.4,4.5,3.98,10.0,13556,1982,Yoga,18.1,3,Neutral,8.9,Maintain current routine
U0045,42,Male,Japan,6.3,7.2,2.97,9.9,13214,3460,Gym,23.6,3,Neutral,7.1,Maintain current routine
U0046,31,Male,Brazil,5.7,8.6,2.21,7.4,13563,2401,Gym,29.6,1,Calm,8.4,Increase sleep duration
U0047,26,Female,India,8.2,6.0,2.97,9.9,13022,2548,Walking,24.2,4,Stressed,5.0,Meditation & relaxation recommended
U0048,43,Male,India,5.7,5.5,3.39,10.0,10234,3176,Sedentary,26.1,5,Stressed,3.9,Meditation & relaxation recommended
U0049,19,Male,USA,7.1,4.9,3.16,10.0,11135,2640,Running,21.7,5,Stressed,6.2,Meditation & relaxation recommended
U0050,37,Male,Japan,6.3,7.1,2.91,9.7,12582,1981,Running,27.3,2,Calm,6.5,Maintain current routine
U0051,45,Male,USA,7.7,7.7,3.35,10.0,7445,2915,Yoga,27.3,2,Calm,9.2,Maintain current routine
U0052,64,Female,USA,7.5,3.4,3.44,10.0,12737,2416,Yoga,24.3,5,Stressed,4.1,Meditation & relaxation recommended
U0053,24,Male,USA,8.6,3.3,3.61,10.0,12603,2493,Sedentary,29.7,5,Stressed,4.3,Meditation & relaxation recommended
U0054,61,Female,Brazil,6.2,5.5,3.02,10.0,8570,2463,Yoga,19.5,4,Stressed,5.8,Meditation & relaxation recommended
U0055,25,Female,Brazil,6.6,5.6,2.37,7.9,11196,2036,Running,18.2,3,Neutral,6.3,Maintain current routine
U0056,64,Male,UK,5.5,5.4,2.62,8.7,10212,2602,Cycling,27.2,2,Calm,8.9,Increase sleep duration
U0057,52,Male,UK,6.3,5.5,3.47,10.0,2406,3103,Gym,27.7,3,Neutral,8.8,Maintain current routine
U0058,31,Male,USA,7.6,4.9,1.85,6.2,11206,2696,Cycling,19.4,4,Stressed,5.3,Meditation & relaxation recommended
